French,English
histoire,history
chercher,search
aide,help
demande,request
genre,kind
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
longtemps,long time
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
vieux,old
tiens,here
tellement,so much
enfant,child
suite,after
venez,come
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
